ID,country,trusthealth,sickwithCOVID,vaccine,age,education,fake_edu,gender,income,language,vacc2,covidcases,coviddeaths,mortalityperm,trustngov,poptrusthealth
204,1,1,2,3, , , , ,1600, ,1,99853,8254,219,0.649999976,0.80763793
565,1,1,2,3, , , , ,8000, ,1,99853,8254,219,0.649999976,0.80763793
1218,1,0,2,3, , , , ,3000, ,1,48490,4007,227,0.49000001,0.357624829
2139,1,1,2,3, , , , ,1000, ,1,190179,8927,107,0.540000021,0.853185594
2276,1,1,2,1, , , , ,5000, ,1,190179,8927,107,0.540000021,0.853185594
2783,1,1,2,3, , , , ,4200, ,1,190179,8927,107,0.540000021,0.853185594
2826,1,1,2,3, , , , ,6500, ,1,190179,8927,107,0.540000021,0.853185594
2828,1,1,2,3, , , , ,6500, ,1,190179,8927,107,0.540000021,0.853185594
3778,1,0,2,2, , , , ,30000, ,2,159793,19080,148,0.370000005,0.54649502
5007,1,0,2,3, , , , ,7000, ,1,30701,1286,34,0.560000002,0.483483493
5303,1,1,2,2, , , , ,5000, ,1,30701,1286,34,0.560000002,0.483483493
6341,1,1,2,3, , , , ,250, ,1,41216,26,4,0.74000001,0.838449121
6925,1,1,2,3, , , , ,1000, ,1,80412,1674,28,0.419999987,0.912234068
7374,1,1,2,3, , , , ,16000, ,1,80412,1674,28,0.419999987,0.912234068
7569,1,1,2,3, , , , ,9000, ,1,80412,1674,28,0.419999987,0.912234068
10141,1,1,1,2, , , , ,10000, ,2,299251,42153,621,0.50999999,0.66015625
10441,1,0,2,1, , , , ,2500, ,2,299251,42153,621,0.50999999,0.66015625
10487,1,0,2,2, , , , ,1, ,2,2234475,119941,362,0.469999999,0.624838293
10967,1,1,1,3, , , , ,55000, ,2,2234475,119941,362,0.469999999,0.624838293
11017,1,1,1,3, , , , ,75, ,1,2234475,119941,362,0.469999999,0.624838293
11184,1,1,1,3, , , , ,47000, ,1,2234475,119941,362,0.469999999,0.624838293
11643,1,1,2,3, , , , ,15000, ,1,83293,4634,58,0,0.983146071
12409,1,1,2,3, , , , ,10, ,2,660309,46665,220,0.150000006,0.451882839
13113,1,1,1,3, , , , ,80000, ,1,367963,12272,9,0.769999981,0.909703493
13114,1,1,2,3, , , , ,80000, ,1,367963,12272,9,0.769999981,0.909703493
13115,1,1,1,3, , , , ,80000, ,1,367963,12272,9,0.769999981,0.909703493
13123,1,1,2,3, , , , ,800000, ,1,367963,12272,9,0.769999981,0.909703493
13239,1,1,1,1, , , , ,25, ,2,367963,12272,9,0.769999981,0.909703493
13335,1,1,1,3, , , , ,40000, ,1,367963,12272,9,0.769999981,0.909703493
13346,1,1,2,3, , , , ,50000, ,1,367963,12272,9,0.769999981,0.909703493
13348,1,1,2,3, , , , ,50000, ,1,367963,12272,9,0.769999981,0.909703493
5,1,1,2,3,1,3,1,2,0,3,1,99853,8254,219,0.649999976,0.80763793
6,1,1,2,3,1,4,1,1,1,3,1,99853,8254,219,0.649999976,0.80763793
7,1,1,1,2,2,1,1,2,1,3,2,99853,8254,219,0.649999976,0.80763793
8,1,1,2,3,1,4,1,1,1,3,1,99853,8254,219,0.649999976,0.80763793
9,1,0,2,2,4,2,1,2,1,3,2,99853,8254,219,0.649999976,0.80763793
10,1,0,2,1,3,1,1,2,1,3,2,99853,8254,219,0.649999976,0.80763793
11,1,1,2,1,3,1,1,2,1,3,2,99853,8254,219,0.649999976,0.80763793
12,1,0,2,3,2,1,1,1,1,3,1,99853,8254,219,0.649999976,0.80763793
13,1,1,1,3,1,3,1,2,1,3,1,99853,8254,219,0.649999976,0.80763793
14,1,1,1,3,2,3,1,2,1,3,1,99853,8254,219,0.649999976,0.80763793
15,1,1,2,3,1,3,1,2,1,3,1,99853,8254,219,0.649999976,0.80763793
16,1,1,2,1,4,1,1,1,1,3,2,99853,8254,219,0.649999976,0.80763793
70,1,1,2,2,3,2,1,2,2,3,2,99853,8254,219,0.649999976,0.80763793
71,1,1,2,2,4,2,1,1,2,3,2,99853,8254,219,0.649999976,0.80763793
107,1,1,2,1,1,1,1,1,3,3,2,99853,8254,219,0.649999976,0.80763793
162,1,0,2,3,3,3,1,1,5,3,2,99853,8254,219,0.649999976,0.80763793
205,1,1,2,3,1,4,1,1,I don't know,1,1,99853,8254,219,0.649999976,0.80763793
208,1,1,2,1,2,2,2,2,1,3,2,99853,8254,219,0.649999976,0.80763793
209,1,1,1,3,2,3,2,1,1,3,1,99853,8254,219,0.649999976,0.80763793
210,1,1,3,3,3,4,2,2,1,3,1,99853,8254,219,0.649999976,0.80763793
239,1,0,2,1,3,2,2,2,2,3,2,99853,8254,219,0.649999976,0.80763793
240,1,0,3,1,4,2,2,2,2,3,2,99853,8254,219,0.649999976,0.80763793
262,1,1,1,3,3,2,2,1,3,3,1,99853,8254,219,0.649999976,0.80763793
274,1,1,2,2,2,2,2,2,4,3,2,99853,8254,219,0.649999976,0.80763793
317,1,1,2,1,2,2,2,2,9,3,2,99853,8254,219,0.649999976,0.80763793
322,1,1,2,3,2,4,2,1,-----,1,1,99853,8254,219,0.649999976,0.80763793
332,1,1,2,3,3,4,2,1,0,1,1,99853,8254,219,0.649999976,0.80763793
333,1,1,2,3,2,4,2,2,0,1,1,99853,8254,219,0.649999976,0.80763793
334,1,0,3,2,1,2,2,1,1,3,2,99853,8254,219,0.649999976,0.80763793
335,1,1,2,2,2,2,2,2,1,3,2,99853,8254,219,0.649999976,0.80763793
336,1,1,1,2,2,2,2,1,1,3,2,99853,8254,219,0.649999976,0.80763793
337,1,0,2,3,3,2,2,2,1,3,1,99853,8254,219,0.649999976,0.80763793
338,1,1,2,3,4,2,2,1,1,3,1,99853,8254,219,0.649999976,0.80763793
339,1,0,2,1,4,2,2,1,1,3,2,99853,8254,219,0.649999976,0.80763793
387,1,0,1,2,2,2,2,2,2,3,2,99853,8254,219,0.649999976,0.80763793
388,1,1,1,1,2,2,2,1,2,3,2,99853,8254,219,0.649999976,0.80763793
423,1,0,2,3,2,2,2,1,3,3,1,99853,8254,219,0.649999976,0.80763793
424,1,1,2,1,3,1,2,2,3,3,2,99853,8254,219,0.649999976,0.80763793
456,1,1,1,3,2,3,2,2,4,3,1,99853,8254,219,0.649999976,0.80763793
540,1,1,1,1,1,2,2,1,7,3,2,99853,8254,219,0.649999976,0.80763793
585,1,1,2,3,2,2,2,2, ,3,1,99853,8254,219,0.649999976,0.80763793
588,1,0,2,1,1,1,3,1,1,3,2,99853,8254,219,0.649999976,0.80763793
589,1,0,2,1,2,3,3,1,1,3,2,99853,8254,219,0.649999976,0.80763793
620,1,0,2,2,2,3,3,2,3,3,2,99853,8254,219,0.649999976,0.80763793
644,1,1,1,1,2,3,3,1,5,3,2,99853,8254,219,0.649999976,0.80763793
681,1,0,2,3,2,3,3,1,n/a,3,1,99853,8254,219,0.649999976,0.80763793
682,1,1,2,3,2,3,3,1,n/a,1,1,99853,8254,219,0.649999976,0.80763793
683,1,0,2,3,2,3,3,1,prefer not to say,1,1,99853,8254,219,0.649999976,0.80763793
684,1,0,2,3,2,4,4,4,1,3,1,99853,8254,219,0.649999976,0.80763793
691,1,0,3,3,2,4,4,1,2,3,1,99853,8254,219,0.649999976,0.80763793
693,1,1,1,2,2,4,4,2,3,3,2,99853,8254,219,0.649999976,0.80763793
694,1,1,2,3,1,4,4,1,4,3,1,99853,8254,219,0.649999976,0.80763793
703,1,0,2,2,3,4,4,2,7,3,2,99853,8254,219,0.649999976,0.80763793
708,1,1,2,1,1,1, ,2,-,4,2,48490,4007,227,0.49000001,0.357624829
709,1,0,3,2,1,1, ,1,$$$,4,2,48490,4007,227,0.49000001,0.357624829
714,1,1,2,3,1,3, ,1,0,4,1,48490,4007,227,0.49000001,0.357624829
715,1,0,2,3,1,4, ,2,0,4,1,48490,4007,227,0.49000001,0.357624829
716,1,0,2,3,1,1, ,1,0,4,1,48490,4007,227,0.49000001,0.357624829
717,1,1,2,1,1,1, ,2,0,4,2,48490,4007,227,0.49000001,0.357624829
718,1,0,2,3,2,1, ,2,0,4,1,48490,4007,227,0.49000001,0.357624829
719,1,0,2,3,2,1, ,2,0,4,1,48490,4007,227,0.49000001,0.357624829
720,1,1,2,1,1,2, ,2,0,4,2,48490,4007,227,0.49000001,0.357624829
721,1,0,2,3,1,2, ,1,0,4,1,48490,4007,227,0.49000001,0.357624829
722,1,0,2,2,2,1, ,2,0,4,2,48490,4007,227,0.49000001,0.357624829
723,1,0,2,1,3,1, ,1,1,4,2,48490,4007,227,0.49000001,0.357624829
724,1,0,2,2,2,1, ,1,1,4,2,48490,4007,227,0.49000001,0.357624829
725,1,1,2,3,1,1, ,1,1 dolar,4,1,48490,4007,227,0.49000001,0.357624829
787,1,0,3,2,2,1, ,1,2,4,2,48490,4007,227,0.49000001,0.357624829
1029,1,1,1,1,1,1, ,2,7,4,2,48490,4007,227,0.49000001,0.357624829
1030,1,1,2,1,4,1, ,2,7,4,2,48490,4007,227,0.49000001,0.357624829
1063,1,1,2,1,2,1, ,1,Ahorita ninguno porque nos quedamos sin trabajo,4,2,48490,4007,227,0.49000001,0.357624829
1064,1,0,2,2,1,1, ,4,Chupalo,4,2,48490,4007,227,0.49000001,0.357624829
1065,1,1,2,2,2,1, ,2,De un 6 de 7,4,2,48490,4007,227,0.49000001,0.357624829
1066,1,0,2,2,1,1, ,2,Dolaraso,4,2,48490,4007,227,0.49000001,0.357624829
1067,1,0,2,3,1,3, ,1,Los nogales,4,1,48490,4007,227,0.49000001,0.357624829
1068,1,1,2,1,4,1, ,2,nada,4,2,48490,4007,227,0.49000001,0.357624829
1069,1,1,2,2,4,1, ,1,Nada yo soy la dueña,4,2,48490,4007,227,0.49000001,0.357624829
1070,1,1,1,1,4,1, ,1,ninguna,4,2,48490,4007,227,0.49000001,0.357624829
1071,1,0,3,2,1,1, ,2,No lo sé,4,2,48490,4007,227,0.49000001,0.357624829
1072,1,1,2,2,1,1, ,2,No se,4,2,48490,4007,227,0.49000001,0.357624829
1073,1,1,2,2,1,1, ,2,No se,4,2,48490,4007,227,0.49000001,0.357624829
1074,1,1,3,2,2,1, ,2,No se,4,2,48490,4007,227,0.49000001,0.357624829
1075,1,1,2,3,1,3, ,1,No tenemos,4,1,48490,4007,227,0.49000001,0.357624829
1076,1,1,2,3,2,3, ,1,Nolose la verdad,4,1,48490,4007,227,0.49000001,0.357624829
1077,1,1,1,1,4,1, ,2,Orqquedias,4,2,48490,4007,227,0.49000001,0.357624829
1078,1,1,3,2,2,1, ,2,unmilllon,4,2,48490,4007,227,0.49000001,0.357624829
1080,1,0,3,3,2,2, ,1,0,4,1,48490,4007,227,0.49000001,0.357624829
1081,1,1,2,3,2,4, ,1,1,4,1,48490,4007,227,0.49000001,0.357624829
1082,1,0,2,1,2,1, ,1,1,4,2,48490,4007,227,0.49000001,0.357624829
1137,1,0,2,3,2,2, ,1,12345678,4,1,48490,4007,227,0.49000001,0.357624829
1268,1,1,3,3,2,2, ,4,5,4,1,48490,4007,227,0.49000001,0.357624829
1353,1,1,3,3,2,3, ,2,nada,4,1,48490,4007,227,0.49000001,0.357624829
1354,1,1,2,3,2,4, ,1,No tienen empleo,4,1,48490,4007,227,0.49000001,0.357624829
1355,1,0,2,2,1,3, ,1,No trabajo Aún,4,2,48490,4007,227,0.49000001,0.357624829
1356,1,1,1,3,1,4, ,2,1,4,1,48490,4007,227,0.49000001,0.357624829
1357,1,0,2,1,2,1, ,2,1,4,2,48490,4007,227,0.49000001,0.357624829
1358,1,0,1,3,2,3, ,1,1,4,1,48490,4007,227,0.49000001,0.357624829
1443,1,0,3,3,2,3, ,2, ,4,1,48490,4007,227,0.49000001,0.357624829
1444,1,0,2,3,1,4, ,1,no lose,4,1,48490,4007,227,0.49000001,0.357624829
1445,1,1,2,2,1,3, ,2,No se,4,2,48490,4007,227,0.49000001,0.357624829
1446,1,1,2,3,2,3, ,2,Nolose,4,1,48490,4007,227,0.49000001,0.357624829
1447,1,1,2,2,1,3, ,2,Nose,4,2,48490,4007,227,0.49000001,0.357624829
1448,1,0,3,3,2,3, ,2,Quédate en casa,4,1,48490,4007,227,0.49000001,0.357624829
1449,1,1,2,3,1,4, ,2,0,3,1,158174,29575,453,0.460000008,0.563527644
1450,1,1,3,3,1,3, ,2,0,3,1,158174,29575,453,0.460000008,0.563527644
1451,1,1,2,2,1,1, ,1,0,3,2,158174,29575,453,0.460000008,0.563527644
1452,1,1,2,3,1,1, ,2,0,3,1,158174,29575,453,0.460000008,0.563527644
1453,1,0,2,1,1,1, ,1,0,3,2,158174,29575,453,0.460000008,0.563527644
1454,1,0,2,1,1,1, ,2,0,3,2,158174,29575,453,0.460000008,0.563527644
1455,1,1,2,2,1,1, ,2,0,3,2,158174,29575,453,0.460000008,0.563527644
1456,1,1,2,3,1,4, ,1,0,3,1,158174,29575,453,0.460000008,0.563527644
1457,1,0,2,3,2,4, ,1,0,3,1,158174,29575,453,0.460000008,0.563527644
1458,1,1,3,2,2,1, ,1,0,3,2,158174,29575,453,0.460000008,0.563527644
1459,1,1,2,3,2,1, ,1,0,3,1,158174,29575,453,0.460000008,0.563527644
